Unnamed: 0	Role	Utterances	Personality	Emotion
12493	Phoebe	 Okay  well umm  I know that we haven \x92t talked in a long time  but umm okay  our Mom is not our birth Mom  This this other lady is our birth Mom   	[1, 0, 0, 0, 0]	joy
37023	Chandler	 The cameras  Remember last night I told you to take them   	[0, 0, 0, 1, 0]	anger
38826	Chandler	 I can \x92t believe there is a naked hooker in there   	[0, 0, 0, 1, 0]	anger
36513	Joey	 Yeah you do   	[0, 0, 1, 0, 0]	anger
2603	Chandler	" I could perform an operation on you and prove it if you d like "" "	[0, 0, 0, 1, 0]	anger
19183	Rachel	" Really  What is with that guy  I mean you d forgive me if I fogged you "" "	[0, 0, 1, 0, 0]	joy
694	Monica	 Yeah  I changed them  I I sent you a fax about it   	[0, 1, 0, 0, 0]	anger
21557	Ross	" You re right  I m sorry  Will you marry me "" "	[0, 0, 0, 0, 1]	anger
41838	Chandler	 Okay  two  three years of rent  utilities  food \x85  	[0, 0, 0, 1, 0]	joy
29058	Ross	 What what what the \x97how da how did what the how did what    	[0, 0, 0, 0, 1]	anger
12329	Joey	  Wanna play strip poker for practice   	[0, 0, 1, 0, 0]	joy
1162	Chandler	 Oh  yeah  that hug looked pretty brutal   	[0, 0, 0, 1, 0]	joy
35468	Joey	 Okay  I will  Ohh  Check out what they got me to wear for the ceremony   Huh  I wear it like this when I marry you guys  and then this  is for party time   	[0, 0, 1, 0, 0]	joy
5482	Phoebe	 Oh  let me see    	[1, 0, 0, 0, 0]	anger
6775	Phoebe	" But they shouldn t happen  you know what  you re  you re in a terrible  terrible business  Oh God  I don t wanna be the person who makes your face look like that "" "	[1, 0, 0, 0, 0]	joy
39450	Joey	 Maybe   Well  Well \x85so so uh  what kind of music does Numb Nuts \x97Oh forget it  I can \x92t   	[0, 0, 1, 0, 0]	joy
39043	Ross	 Will  high school was was a long time ago   	[0, 0, 0, 0, 1]	anger
38288	Monica	 Ross is really strong  Okay  he \x92s the strongest out of all three of you   Except for Joey   	[0, 1, 0, 0, 0]	joy
28922	Ross	 What are you guys doing later   	[0, 0, 0, 0, 1]	anger
29594	Chandler	 Oh  I can \x92t go   	[0, 0, 0, 1, 0]	anger
28179	Chandler	  My friend \x92s name is Joey   	[0, 0, 0, 1, 0]	anger
16542	Chandler	  Okay  Okay  All right  Help  Am I a Mark  or a John   	[0, 0, 0, 1, 0]	anger
7941	Joey	 I got it    	[0, 0, 1, 0, 0]	joy
18676	Ross	" Look you re my wife  We re we re married  Y know  I I love you  I I really miss you "" "	[0, 0, 0, 0, 1]	joy
11980	Monica	 Well  you \x92re not gonna get going are you   	[0, 1, 0, 0, 0]	anger
28090	Chandler	 A hot girl \x92s at stake and all of the sudden he \x92s Rain Man   	[0, 0, 0, 1, 0]	joy
33820	Monica	 I \x92m glad you \x92re here  we have a couple of things to ask you about the wedding ceremony   	[0, 1, 0, 0, 0]	joy
25102	Phoebe	  I \x92m doing okay  I think it \x92s going well  Do you think they \x92re having fun  Am I talking to fast   	[1, 0, 0, 0, 0]	anger
564	Rachel	" Uh huh  Okay  You know what  Joey  I don t think he s ever   gonna be okay with this "" "	[0, 0, 1, 0, 0]	joy
37615	Phoebe	 Excuse me  I don \x92t want Greg and Jenny \x92s rejects   	[1, 0, 0, 0, 0]	joy
42465	Joey	 Oh God  what the hell am I going to tell him   	[0, 0, 1, 0, 0]	joy
14999	Rachel	 No it \x92s not   	[0, 0, 1, 0, 0]	anger
23223	Chandler	 You okay there man   	[0, 0, 0, 1, 0]	joy
7888	Monica	 Well  every  every Thanksgiving um  we used to have a touch football game called the  \x91Geller Bowl  \x92  	[0, 1, 0, 0, 0]	joy
2542	Chandler	" So  we ll tell the truth and who knows  maybe she ll like us for us "" "	[0, 0, 0, 1, 0]	anger
40437	Chandler	 I didn \x92t know you read tea leaves   	[0, 0, 0, 1, 0]	anger
16163	Phoebe	 No you can \x92t quit college  No  You \x92re in college  Really   	[1, 0, 0, 0, 0]	joy
42712	Joey	 Why \x92re you so tired   	[0, 0, 1, 0, 0]	joy
12784	Ross	  Hey  So ah  what did the insurance company say   	[0, 0, 0, 0, 1]	joy
15948	Phoebe	 Oh my God   The baby just kicked   	[1, 0, 0, 0, 0]	anger
12320	Rachel	 Noo  Maybe  I  I don \x92t know  Ross  I still can \x92t forgive you for what you did  I can \x92t  I just  but sometimes when I \x92m with you I just  I feel so     	[0, 0, 1, 0, 0]	anger
6687	Chandler	 Okay  last night at dinner  when the meals came  she put half her chicken piccata on my plate and took my tomatoes   	[0, 0, 0, 1, 0]	anger
598	Joey	" Yeah  It s actually our first official date "" "	[0, 0, 1, 0, 0]	joy
19831	Chandler	" Nothing  I said  I said ""You\ re so great"" and then I just  I just stopped talking   "	[0, 0, 0, 1, 0]	joy
22296	Phoebe	  And did you notice the ice   Look  We have it all  We have crushed  Cubed  And dry  Watch   Ahhh  Mystical   	[1, 0, 0, 0, 0]	anger
39831	Chandler	 With the claw    	[0, 0, 0, 1, 0]	anger
25750	Joey	 Oh  I do   How you doin   	[0, 0, 1, 0, 0]	anger
42643	Joey	 No  I didn \x92t   	[0, 0, 1, 0, 0]	joy
9543	Rachel	 Oh my God  I cannot keep having this same fight over and over again  Ross  no  you \x92re  you \x92re  you \x92re making this too hard   	[0, 0, 1, 0, 0]	anger
45373	Chandler	" Well yes yes    You look nice can mean that your face looks nice    I want to compliment your body  I mean  I wouldn t change it  At all  And more   specifically  I wouldn t want anything to get any bigger "" "	[0, 0, 0, 1, 0]	joy
39243	Ross	 What are you reading  The Kidnappers Guide to Manhattan Private Schools   	[0, 0, 0, 0, 1]	anger
21116	Joey	" Noo  I can t take any more secrets   I ve got your secrets  I ve got their secrets  I got secrets of my own y know "" "	[0, 0, 1, 0, 0]	joy
